id,createdTime,Active,Asset Description,Attachment,Cycle,Date,File Link,Name,WorkshopTypeRecID (from Workshops),Workshops
rec4BCPiS7Y0X8dhR,2024-10-07T14:14:32.000Z,true,"Fall 2024 guidance and action steps for seniors submitting the CSS Profile and FAFSA, including ED and EA applicants
",,recT7j4EBCY0I4Ap9,2024-10-07,https://docs.google.com/document/d/13gl0QFuNwh39dDUlt9ImEi_lG8ZWyXM_/edit?usp=sharing&ouid=104666892439975015774&rtpof=true&sd=true,Senior Communication: October 2024,,
rec52n9YPH6cwFjc8,2024-07-22T10:54:18.000Z,true,,,recT7j4EBCY0I4Ap9,2024-07-03,https://docs.google.com/document/d/13JsQw9_EqH1vQtXMv4Nv3Zdz_kZoYHyy/edit?usp=sharing&ouid=104666892439975015774&rtpof=true&sd=true,Workshop 1 Follow-up Communication,rec66IN7LiHqaS1S3,rec66IN7LiHqaS1S3
rec5CAFspkYwWJ0wd,2024-07-22T10:54:18.000Z,true,,,recT7j4EBCY0I4Ap9,2024-07-01,https://docs.google.com/document/d/1T088vIXy25UXTKJXN_dGSim3COvMZkZl/edit?usp=sharing&ouid=104666892439975015774&rtpof=true&sd=true,Workshop 1 Announcement,rec66IN7LiHqaS1S3,rec66IN7LiHqaS1S3
recBFouykDe9wcvSs,2024-08-06T22:51:11.000Z,true,,,recT7j4EBCY0I4Ap9,2024-08-06,https://docs.google.com/document/d/1xGAlWlHoaLxzGciNU6fA3NpymsiDnHzX/edit?usp=sharing&ouid=104666892439975015774&rtpof=true&sd=true,Workshop 6 Announcement,recs6SZGHIoK9GEcj,recs6SZGHIoK9GEcj
recCtsXln4LOWDrPM,2024-08-06T22:52:18.000Z,true,,,recT7j4EBCY0I4Ap9,2024-08-06,https://docs.google.com/document/d/1dMDjLdzk-jc852NTznnqNIf6BL5v7nfY/edit?usp=sharing&ouid=104666892439975015774&rtpof=true&sd=true,Workshop 5 Follow-up Communication,recs6SZGHIoK9GEcj,recs6SZGHIoK9GEcj
recDvzgKweuZfYuAt,2025-06-02T19:09:46.000Z,true,,,recUGLLObarpuYVV4,2025-06-02,https://docs.google.com/document/d/1B9cmN7doUpHty5oVh7Zm0Qpl3fj74Z1v/edit?usp=sharing&ouid=104666892439975015774&rtpof=true&sd=true,2025-26 Program Announcement,,
recHK3AEjRs5zZzY1,2024-10-16T13:21:02.000Z,true,Summary of resources to complete the CSS Profile along with tips.,,recT7j4EBCY0I4Ap9,2024-10-16,https://docs.google.com/document/d/1LaTKt3ztaIULsmDxMvR2r9zNIn2YEukY/edit?usp=sharing&ouid=104666892439975015774&rtpof=true&sd=true,Senior Communication: Resources for the CSS Profile,,
recHo8TcCkk6WQXwa,2024-08-06T22:54:16.000Z,true,,,recT7j4EBCY0I4Ap9,2024-08-06,https://docs.google.com/document/d/1qU2Wh-u-f4vW-R_mX0_DMBsD6bf9TvOX/edit?usp=sharing&ouid=104666892439975015774&rtpof=true&sd=true,Paul Martin Bio,,
recK3jYr7mafGRRRJ,2024-07-22T10:54:18.000Z,true,,,recT7j4EBCY0I4Ap9,2024-07-05,https://docs.google.com/document/d/1WwaTbHmf4HZ21lQaeI-2wdQ_i-4NUr52/edit?usp=sharing&ouid=104666892439975015774&rtpof=true&sd=true,Workshop 2 Announcement,receoTEd10p7toCaV,receoTEd10p7toCaV
recOH3SdFLEPOLh12,2024-08-06T22:36:07.000Z,true,,,recT7j4EBCY0I4Ap9,2024-08-06,https://docs.google.com/document/d/1K0iaum5knmKROAY4RF7MVzTG299FQvwI/edit?usp=sharing&ouid=104666892439975015774&rtpof=true&sd=true,Workshop 3 Follow-up Communication,recPWvKHuj6ILLgVi,recPWvKHuj6ILLgVi
