id,createdTime,CohortRecID,Hide Unavailability Calendar,Junction Table School Workshop,Name,School,School (from School)
rec64hxpgTEzgyOio,2024-03-18T20:37:02.000Z,rec64hxpgTEzgyOio,,"recuWYTutO5fOycLs,rec0C8CNFaYExYkcT,rec4x2tF0lVVkEbcX,recjWWvHYMeOGgeUC,recqWxXSxLWppNl2d,recEqG4Eefyc6hp0I,rectlMUKh8XBNLKSx,recRhMLhEfaOorhNJ,recc6Wv2mAZeO6uiP,recw5ONhCvOJuRuuA,recZmrW5mA2sKWFAF,recUuHutuELxqepYS",TX,"rec6O4qDqHPOCU5Qr,recVCrjNijhtTrVAm,rech3XcMHvv6dgkMh,recCoD5vb2k0Zj2YV,recMeoqgPtxeBssqm,recnyT4MGjUHjA3rV","Greenhill School,St. John's School,The Kinkaid School,Ursuline Academy of Dallas,Dallas International School,The Episcopal School of Dallas"
rec6YACSM3bH14t0c,2024-05-22T18:28:39.000Z,rec6YACSM3bH14t0c,,"rectK2PzP08sgfGWI,recLZTmDgEnqbqEAH,recuuZ70hCEZhnSQZ,recyagqqCkj9qQdoI,rec5wqNVa5DDJJWbB,recRkZ22YAjvQOTQE",BOS 3,,
recBegBohgNLuxvd6,2024-03-18T20:36:30.000Z,recBegBohgNLuxvd6,,"recRekqZWlo702p6l,rec01OJiUXVjB9tgr,recJiiI36Fk85ZWKB,recHzIVL2mUufw028,recsP7LfiAowJrKAR,rec98ShEagC7Os3Q7,recofO3e4GyRcfPUk,recF63ezH9YZ2UB5m,recO7j02QpgQ8G3Zq,recIuPxtIevP095B0,rec4fUv1RVbmY7kR0,recRxeFznj3xQlnru",BAISCC,"recyWRkg97tfzhQuB,recN7MB5wfK3vE6X5,recFJoLw3LOhZ8wiN,recYerI3xzYJP4nDb,recAaMBgFx0FNhMS1,recQqsZVdChHmoWZm,recg858zz1O8uGUCy,rech8BW6ntvZNwfgy,recDV8GiY5ENdELC0,recUYiAwNNndan1CT,recOnnnN6G2VKdqPX,rec7yXg3tc5sagKcw,receGYaGvpLB8n6dR,recsGk9jfM4iqIxVj,rec6ivk2YBkp0oLk0,recuzr3BMaMHy47Vp,recqoUu7cPW9dQJSN,rec3GZK0hDgVEy9rh,rec0rxOAbBhcojjAG,recfMefwiE0Ru9JPj,recHi4mOBbun4XmWe,recaU7I4f8ERrMGrW,rec2L9MsH1Htyyggw","The Branson School,De La Salle High School,San Francisco Waldorf High School,Drew School,St. Ignatius Preparatory School,San Francisco University High School,Lick-Wilmerding High School,Carondelet High School,Menlo School,Sacred Heart Cathedral Preparatory,The Jewish Community High School of the Bay,Sacred Heart Schools Atherton,Sonoma Academy,The International School of San Francisco,Cate School,The Bay School of San Francisco,The Bentley School,Marin Catholic High School,Head-Royce School,Hillbrook School,The Athenian School,Francis Parker School,Marin Academy"
recBzTKhTFt0rpyZj,2025-05-02T17:44:27.000Z,recBzTKhTFt0rpyZj,,"recpJemMUFTwbp6nY,recYGHhzYFXB8f4Xw,rec5PQphxg0c3k7Ez,recZSLS6sRiUGEvZW,recHtXI80E5LCrTAL,recMugBpgyUyYa6nD,recCIVZ2CZhOJoCWx,rec28Nrvn37y9uX97,reckFSselVbjE7mHE,recvxj79587EzrhIh,rec3BXfkzuHYSTsoX,recDqHmg60tgTgIFi",BOS,"recGvIZMy2ABEWezM,recc6DGM4v1CDuNHg,recRjbVI7qZcPQpAz,recoQ0U7QzVZROv45,recVrPkpRRfl7PgTe,recYrzCVL1U07jSmf,rec5aN3mbwVnBsQym,recbw79DneoAaKsMP,recNqinHKNC9YQzeV,recoezNBktdYgzmiO,recPzDFvnXBYkCVLG,recFohENpmuQhkW6d,recEB1QFrnDToU3kC,recbuGhxoB4bR1zhl,rec1A1XQt6OBukH50,recWksdZmCL5oIglc,rec0PxSX5M719F8tC,recjv3WevM190HLtA,recN9D9nN0SyvZUX0,recvnhGGRNXBViqcB,recAZNqETXxpaImKr","Beaver Country Day School,The Cambridge School of Weston,Montrose School,St. Sebastian's School,The Roxbury Latin School,Concord Academy,New England Innovation Academy,Thayer Academy,The Winsor School,Buckingham Browne & Nichols School,Groton School,St. Mark's School,Tabor Academy,The Governor's Academy,The Rivers School,Boston Trinity Academy,Kimball Union Academy,Pingree School,Deerfield Academy,Holderness School,Miss Hall's School"
recEnnhjHMIV8c8HC,2024-03-18T20:37:02.000Z,recEnnhjHMIV8c8HC,,"recdfxSpnvcwQ13gC,recRxHQJsEteWZnsE,rec2nxKeaSZgypfra,recJ3EpzTzsFmbNct,recJBoYVyATHo1OhR,recc6I4NLccYxmlzA,recz3WNYgxaKG2Ezt,recCmAqkdJYMT8ZBd,recR1vdyX57zl7d49,recKGWughiusDZriq,recqxQVyT2gSZd4zd,recb8R6VzrjghIHKl",NYC,"recDGlhj71Jm0S4uY,recGAzffV440IBUeZ,reckuC60sCJHG75Mg,recLLC22IgIIzuRZw,recc1eYq3HksE0OCH,recXI6eusMlHVx0XU,recWh5eiWYgkmoBVP,recU3nqiPuiOMoAPQ,rec2rOQQKRpKcna1l,rece5z2suTyHPfmFy,rect3XevxmxVWM76J,rec5Ql4k6nZSferUo,recjnbSKJBw1WgoAD,recDewJYMMdQ7KIau,rec3oBlcgbdjBh8hx,recgMiH84RfaTPyE0,rec6uUuH959m8j1FP","The Birch Wathen Lenox School,The Calhoun School,Columbia Grammar & Preparatory School,Ethical Culture Fieldston School,The Spence School,Trinity School,Horace Mann School,The Dalton School,The Brearley School,Collegiate School,The Chapin School,United Nations International School,Marymount School of New York,The Ramaz School,Poly Prep Country Day School,Avenues New York,Regis High School"
recHHg9XhLHC21zvY,2024-03-28T19:37:46.000Z,recHHg9XhLHC21zvY,,"recefl9Fqd0wb8vJp,reck1x837rOk0HUye,recgT9uq4ROP1bZQy,recC2D1kyzN77GDMR,rec5ACeJITCq9QEat,recoERtwQX7wpyssj,rec1bVn65XzVCzGsB,recx84gCJP3D8J5Gb,recdLc5ESemA48Zdp,recS3W4uYnoPBT4eH,recqf6DQNc712bBqs,recJnB83Ji1qivqAl",CHAT,"reccx9N6Zlp8w9BuK,recLq6zX7ltrnF9z7,recx1B8XKHLMi0fIe","Girls Preparatory School,Baylor School,The McCallie School"
recXGLuN0MF6Cn8Jt,2024-05-22T18:29:45.000Z,recXGLuN0MF6Cn8Jt,,"recNhpJWoHmyjroEs,recRRCdfBfPjAQuGM,recZ3DrJRRLjSb8Di,recge4yfWO1owSpS4,recAb0ovpWr9wPLy3,recIFntJ00XfYgNxj,recw4R88X3dgFdDlA,recZuiLEQKwoK09WK,recbAuZ3PkXRmnx64,recFLgNcLcFXDYIlk,rec3jn3dZx6gvchqz,recuKP901CgTXtw9X",MD,"recTZhGtkNuNafPJO,rec7cWWCdSgsxK744,recXBFM1Cuz3Quyt9,recFUWVJ0ZEym8bbK,recjrQQDQofuyketQ,recuqxZgKBbvnm5gp,recYwgNGtezYMe8E8","The Bryn Mawr School,Garrison Forest School,Gilman School,Roland Park Country School,The Boy's Latin School of Maryland,McDonogh School,The St. Paul's Schools"
recXbBlfbSDyFwesd,2024-05-22T18:09:18.000Z,recXbBlfbSDyFwesd,,"recIhdIpMjyiQ7EOq,reci1PF8Xzdu9gcwl,rec8i5oVXDG9I4HCK,rec9MG6VpujQJaavF,rec7mhvxNaMYInSCB,rec6KDMwcFrgpy3i0,recla5fqaGyjPmUan,rec1kNQzqpecCIbAX,recRi2mBdYB6clpiE,rec5BSDAI5onRo0bX,recK8XtksiPubn4mX,recu9viTFdKnzYrwb",H-WM,"recpT7nnt8PrJfj5G,recYCbypleijxXfnz","Harvard-Westlake School,Marlborough School"
recZqfQ4RkbnW2JIg,2024-03-18T20:37:02.000Z,recZqfQ4RkbnW2JIg,,"recAEH1dqfVPqyVDt,recGxlXPXgcev3X9v,recmZbqYJlSzSn01A,recy7jwWedhAmr6cD,recFOD7sl39uSaybF,recGOAKxHRsO15wth,recKFoa0DW0fA5yWZ,recRA5LjzqXCYmP8J,rec5mZxys1Ac22Okd,recBDoWqhHjU5Vgo1,recJDdod4D53v9vw1,recjbVpUt0MbTT9Bx",CT,"recVAtLH989vPXIol,recnYsUvMCrKI02YU,recTzSwAaFOu2bJ1M,rec2XZJ1Vgcmnq1am,recpaSLehST5Kh0Wv,recW0xcxX5nPDX5Qk,rec8K86ge5WSiz2CP,recR6bgASzZEEAvHn,recJDzhmNefYvxOJ8,recSRFCJkooYbDDWi","Avon Old Farms School,Greenwich Academy,Westover School,The Ethel Walker School,Miss Porter's School,Kingswood Oxford School,The Taft School,The Frederick Gunn School,Hartford Youth Scholars,King School"
reccBfPpfUFwgTi5y,2026-02-23T23:30:09.000Z,reccBfPpfUFwgTi5y,,,TN,"recLq6zX7ltrnF9z7,reccx9N6Zlp8w9BuK,recx1B8XKHLMi0fIe,recIRd6HTZRkFrDIK,recG6EO7QNvLZtUNi,recW5oZBwg13r5PcW,rec5c8iGaJ6auxQua,recpNEOoFGxPem8nc,receJmrA20g5Udttr","Baylor School,Girls Preparatory School,The McCallie School,Webb School of Knoxville,Franklin Road Academy,Harpeth Hall,Memphis University School,Montgomery Bell Academy,University School of Nashville"
