id,createdTime,Calculation,Cohort 2 (from Schools),Created,Date,DateAsString,SchoolRecID (from Schools),Schools,Workshops
rec01nJwu2oGnvpsJ,2025-03-03T20:02:29.000Z,0,recBegBohgNLuxvd6,2025-03-03T20:02:29.000Z,2025-07-23,"""2025-07-23""",recAaMBgFx0FNhMS1,recAaMBgFx0FNhMS1,
rec01wk7aGe0XlAFr,2025-03-10T15:47:31.000Z,0,recBegBohgNLuxvd6,2025-03-10T15:47:31.000Z,2026-04-09,"""2026-04-09""",recqoUu7cPW9dQJSN,recqoUu7cPW9dQJSN,
rec046h2IuemDbGes,2026-02-18T20:01:04.000Z,0,recEnnhjHMIV8c8HC,2026-02-18T20:01:04.000Z,2027-04-26,"""2027-04-26""",recDewJYMMdQ7KIau,recDewJYMMdQ7KIau,
rec05gvHWn2WhESHb,2025-04-08T13:22:54.000Z,0,recEnnhjHMIV8c8HC,2025-04-08T13:22:54.000Z,2026-03-25,"""2026-03-25""",recc1eYq3HksE0OCH,recc1eYq3HksE0OCH,
rec06p3qCxcyLEDMU,2026-02-15T18:25:00.000Z,0,recZqfQ4RkbnW2JIg,2026-02-15T18:25:00.000Z,2027-03-08,"""2027-03-08""",recnYsUvMCrKI02YU,recnYsUvMCrKI02YU,
rec07fVAM1WKbN0DT,2025-03-18T20:16:21.000Z,0,recBegBohgNLuxvd6,2025-03-18T20:16:21.000Z,2026-02-18,"""2026-02-18""",recDV8GiY5ENdELC0,recDV8GiY5ENdELC0,
rec09TLKlZqjOSXAX,2025-03-10T15:56:03.000Z,0,recZqfQ4RkbnW2JIg,2025-03-10T15:56:03.000Z,2025-12-30,"""2025-12-30""",rec2XZJ1Vgcmnq1am,rec2XZJ1Vgcmnq1am,
rec0A8NbCPoB7DpRz,2025-03-03T18:58:34.000Z,0,"recqdUH6FuIRtHTNP,reccBfPpfUFwgTi5y",2025-03-03T18:58:34.000Z,2025-10-15,"""2025-10-15""",receJmrA20g5Udttr,receJmrA20g5Udttr,
rec0AOrEDe924o8O4,2026-03-06T22:50:47.000Z,0,"recHHg9XhLHC21zvY,reccBfPpfUFwgTi5y",2026-03-06T22:50:47.000Z,2027-02-11,"""2027-02-11""",recx1B8XKHLMi0fIe,recx1B8XKHLMi0fIe,
rec0AyMR43rrLnxud,2026-02-17T15:12:56.000Z,0,recZqfQ4RkbnW2JIg,2026-02-17T15:12:56.000Z,2026-10-13,"""2026-10-13""",recSRFCJkooYbDDWi,recSRFCJkooYbDDWi,
rec0Bnmebye4Cvac6,2026-02-17T17:15:25.000Z,0,recBzTKhTFt0rpyZj,2026-02-17T17:15:25.000Z,2027-01-18,"""2027-01-18""",recc6DGM4v1CDuNHg,recc6DGM4v1CDuNHg,
rec0Dz6nawoZGJfOw,2025-03-06T20:25:46.000Z,0,rec64hxpgTEzgyOio,2025-03-06T20:25:46.000Z,2025-11-20,"""2025-11-20""",recVCrjNijhtTrVAm,recVCrjNijhtTrVAm,
rec0E8Ws3EFASNt1A,2026-02-11T22:42:56.000Z,0,rectzlwUZbg7DifiH,2026-02-11T22:42:56.000Z,2026-12-22,"""2026-12-22""",recrtZnWAXCS6aKUy,recrtZnWAXCS6aKUy,
rec0F3oRDiHSDBDGE,2026-02-11T22:42:59.000Z,0,rectzlwUZbg7DifiH,2026-02-11T22:42:59.000Z,2027-03-22,"""2027-03-22""",recrtZnWAXCS6aKUy,recrtZnWAXCS6aKUy,
rec0IMg4WjNMGF5u3,2026-03-08T18:26:06.000Z,0,"recHHg9XhLHC21zvY,reccBfPpfUFwgTi5y",2026-03-08T18:26:06.000Z,2027-03-29,"""2027-03-29""",reccx9N6Zlp8w9BuK,reccx9N6Zlp8w9BuK,
rec0IpX0pZhKljYxO,2025-02-28T17:48:33.000Z,0,recBegBohgNLuxvd6,2025-02-28T17:48:33.000Z,2025-08-05,"""2025-08-05""",recuzr3BMaMHy47Vp,recuzr3BMaMHy47Vp,
rec0KPWSm6QO209t2,2026-02-17T15:12:58.000Z,0,recZqfQ4RkbnW2JIg,2026-02-17T15:12:58.000Z,2026-12-29,"""2026-12-29""",recSRFCJkooYbDDWi,recSRFCJkooYbDDWi,
rec0Nvu9hMqakHW6R,2025-03-18T21:05:02.000Z,0,recBegBohgNLuxvd6,2025-03-18T21:05:02.000Z,2026-04-08,"""2026-04-08""",recg858zz1O8uGUCy,recg858zz1O8uGUCy,
rec0P5hPqT7wYpHy7,2025-03-10T18:59:55.000Z,0,recBegBohgNLuxvd6,2025-03-10T18:59:55.000Z,2026-03-30,"""2026-03-30""",receGYaGvpLB8n6dR,receGYaGvpLB8n6dR,
rec0PHnKy6XVgERTu,2026-02-16T19:04:29.000Z,0,recBzTKhTFt0rpyZj,2026-02-16T19:04:29.000Z,2026-12-30,"""2026-12-30""",recN9D9nN0SyvZUX0,recN9D9nN0SyvZUX0,
rec0R3LrSIf48TluU,2026-02-11T18:40:52.000Z,0,rectzlwUZbg7DifiH,2026-02-11T18:40:52.000Z,2026-11-24,"""2026-11-24""",recjjFI31GOVqZNNb,recjjFI31GOVqZNNb,
rec0RVnEBBitwZ5cU,2025-03-12T16:56:46.000Z,0,rectzlwUZbg7DifiH,2025-03-12T16:56:46.000Z,2025-10-16,"""2025-10-16""",reccEPUJCe3hcX1fb,reccEPUJCe3hcX1fb,
rec0S5JEJZz9NSGks,2026-02-11T20:45:45.000Z,0,recBegBohgNLuxvd6,2026-02-11T20:45:45.000Z,2026-10-15,"""2026-10-15""",recsGk9jfM4iqIxVj,recsGk9jfM4iqIxVj,
rec0TQui8keaICZ6o,2025-03-10T17:01:15.000Z,0,recBzTKhTFt0rpyZj,2025-03-10T17:01:15.000Z,2026-04-27,"""2026-04-27""",recPzDFvnXBYkCVLG,recPzDFvnXBYkCVLG,
rec0U0u0YIpKsVyxn,2025-03-10T15:56:04.000Z,0,recZqfQ4RkbnW2JIg,2025-03-10T15:56:04.000Z,2026-02-09,"""2026-02-09""",rec2XZJ1Vgcmnq1am,rec2XZJ1Vgcmnq1am,
rec0UUZpgkShoUgRZ,2025-03-10T15:56:06.000Z,0,recZqfQ4RkbnW2JIg,2025-03-10T15:56:06.000Z,2026-03-17,"""2026-03-17""",rec2XZJ1Vgcmnq1am,rec2XZJ1Vgcmnq1am,
rec0UwEyMPnkg7hpM,2025-03-07T22:45:05.000Z,0,"recHHg9XhLHC21zvY,reccBfPpfUFwgTi5y",2025-03-07T22:45:05.000Z,2026-01-01,"""2026-01-01""",recx1B8XKHLMi0fIe,recx1B8XKHLMi0fIe,
rec0XDZvSPEB2FfTq,2025-03-20T17:29:10.000Z,0,recnDSfA01aEsurlW,2025-03-20T17:29:10.000Z,2026-04-14,"""2026-04-14""",recvOsQGp6TgjCb5V,recvOsQGp6TgjCb5V,
rec0Xawz52a3haRbM,2026-02-11T17:05:45.000Z,0,recEnnhjHMIV8c8HC,2026-02-11T17:05:45.000Z,2027-03-29,"""2027-03-29""",rec5Ql4k6nZSferUo,rec5Ql4k6nZSferUo,
rec0XhSGDne7NuLPM,2025-03-20T17:26:30.000Z,0,recnDSfA01aEsurlW,2025-03-20T17:26:30.000Z,2026-02-19,"""2026-02-19""",recvOsQGp6TgjCb5V,recvOsQGp6TgjCb5V,
rec0ZSjExtFIQDDKi,2026-03-05T16:40:41.000Z,0,rectzlwUZbg7DifiH,2026-03-05T16:40:41.000Z,2027-04-05,"""2027-04-05""",recQYPvaQ4iW1DrqG,recQYPvaQ4iW1DrqG,
rec0a25R0ONocIHgm,2026-02-26T20:52:56.000Z,0,recsKHLj9ENu86h1D,2026-02-26T20:52:56.000Z,2026-09-07,"""2026-09-07""",rec2DZJcmFSuClnep,rec2DZJcmFSuClnep,
rec0aJlnKOK7jwztj,2026-02-17T17:15:24.000Z,0,recBzTKhTFt0rpyZj,2026-02-17T17:15:24.000Z,2026-12-28,"""2026-12-28""",recc6DGM4v1CDuNHg,recc6DGM4v1CDuNHg,
rec0c2OivfE40IpiT,2026-03-06T22:50:49.000Z,0,"recHHg9XhLHC21zvY,reccBfPpfUFwgTi5y",2026-03-06T22:50:49.000Z,2027-03-31,"""2027-03-31""",recx1B8XKHLMi0fIe,recx1B8XKHLMi0fIe,
rec0eFWzMjCHInZhE,2026-02-11T20:45:50.000Z,0,recBegBohgNLuxvd6,2026-02-11T20:45:50.000Z,2027-04-12,"""2027-04-12""",recsGk9jfM4iqIxVj,recsGk9jfM4iqIxVj,
rec0ebnJcrj4DQC9p,2025-03-10T20:42:59.000Z,0,"recXbBlfbSDyFwesd,rectzlwUZbg7DifiH",2025-03-10T20:42:59.000Z,2026-04-22,"""2026-04-22""",recpT7nnt8PrJfj5G,recpT7nnt8PrJfj5G,
rec0fUu4Rgd5qex58,2026-02-17T17:15:22.000Z,0,recBzTKhTFt0rpyZj,2026-02-17T17:15:22.000Z,2026-09-09,"""2026-09-09""",recc6DGM4v1CDuNHg,recc6DGM4v1CDuNHg,
rec0gNWVPUAjQYEqU,2025-03-11T00:36:03.000Z,0,rectzlwUZbg7DifiH,2025-03-11T00:36:03.000Z,2026-01-21,"""2026-01-21""",recCzHa5QlOU4CMv4,recCzHa5QlOU4CMv4,
rec0h2tDLLYVNhjJT,2025-03-07T22:45:03.000Z,0,"recHHg9XhLHC21zvY,reccBfPpfUFwgTi5y",2025-03-07T22:45:03.000Z,2025-10-13,"""2025-10-13""",recx1B8XKHLMi0fIe,recx1B8XKHLMi0fIe,
rec0iYrhG7qqAlRlX,2026-02-19T15:17:20.000Z,0,recXGLuN0MF6Cn8Jt,2026-02-19T15:17:20.000Z,2026-10-28,"""2026-10-28""",recFUWVJ0ZEym8bbK,recFUWVJ0ZEym8bbK,
rec0jqIkqV6HFIb1h,2026-02-19T15:50:04.000Z,0,"recHHg9XhLHC21zvY,reccBfPpfUFwgTi5y",2026-02-19T15:50:04.000Z,2027-04-08,"""2027-04-08""",recLq6zX7ltrnF9z7,recLq6zX7ltrnF9z7,
rec0lLxEeX3VOPtSQ,2025-02-28T21:39:59.000Z,0,recBegBohgNLuxvd6,2025-02-28T21:39:59.000Z,2026-04-06,"""2026-04-06""",rec7yXg3tc5sagKcw,rec7yXg3tc5sagKcw,
rec0lp9uPkvRYb3j2,2025-02-28T17:48:34.000Z,0,recBegBohgNLuxvd6,2025-02-28T17:48:34.000Z,2025-09-04,"""2025-09-04""",recuzr3BMaMHy47Vp,recuzr3BMaMHy47Vp,
rec0mDEGNOJha5dDc,2025-03-07T22:45:14.000Z,0,"recHHg9XhLHC21zvY,reccBfPpfUFwgTi5y",2025-03-07T22:45:14.000Z,2026-05-12,"""2026-05-12""",recx1B8XKHLMi0fIe,recx1B8XKHLMi0fIe,
rec0mdNeX8X7RMRwm,2025-03-06T23:39:48.000Z,0,recBegBohgNLuxvd6,2025-03-06T23:39:48.000Z,2025-12-31,"""2025-12-31""",recsGk9jfM4iqIxVj,recsGk9jfM4iqIxVj,
rec0oG2C3o6cGrq4L,2025-03-14T17:15:23.000Z,0,recBegBohgNLuxvd6,2025-03-14T17:15:23.000Z,2026-02-18,"""2026-02-18""",recYerI3xzYJP4nDb,recYerI3xzYJP4nDb,
rec0pH4wJJPxDavri,2026-02-13T22:12:43.000Z,0,rectzlwUZbg7DifiH,2026-02-13T22:12:43.000Z,2027-04-01,"""2027-04-01""",recCzHa5QlOU4CMv4,recCzHa5QlOU4CMv4,
rec0pSb0YR4bYxyx9,2025-02-28T17:39:26.000Z,0,rectzlwUZbg7DifiH,2025-02-28T17:39:26.000Z,2026-01-28,"""2026-01-28""",recwAx2WglQoDGgWR,recwAx2WglQoDGgWR,
rec0q3dzEXVGo0BQt,2025-03-03T18:58:39.000Z,0,"recqdUH6FuIRtHTNP,reccBfPpfUFwgTi5y",2025-03-03T18:58:39.000Z,2026-06-01,"""2026-06-01""",receJmrA20g5Udttr,receJmrA20g5Udttr,
rec0r7TARSlueUeVh,2026-02-15T18:25:02.000Z,0,recZqfQ4RkbnW2JIg,2026-02-15T18:25:02.000Z,2027-03-18,"""2027-03-18""",recnYsUvMCrKI02YU,recnYsUvMCrKI02YU,
rec0tTXyaPeMIS8Pg,2025-03-12T16:56:42.000Z,0,rectzlwUZbg7DifiH,2025-03-12T16:56:42.000Z,2026-01-05,"""2026-01-05""",reccEPUJCe3hcX1fb,reccEPUJCe3hcX1fb,
rec0uQav0421KGyH2,2025-03-18T21:05:02.000Z,0,recBegBohgNLuxvd6,2025-03-18T21:05:02.000Z,2026-04-07,"""2026-04-07""",recg858zz1O8uGUCy,recg858zz1O8uGUCy,
rec0ub412oPMdcRHn,2026-02-13T15:00:44.000Z,0,recZqfQ4RkbnW2JIg,2026-02-13T15:00:44.000Z,2026-09-08,"""2026-09-08""",rec8K86ge5WSiz2CP,rec8K86ge5WSiz2CP,
rec0v2BiVrDoWoutF,2025-03-16T17:53:37.000Z,0,rec64hxpgTEzgyOio,2025-03-16T17:53:37.000Z,2026-02-16,"""2026-02-16""",recCoD5vb2k0Zj2YV,recCoD5vb2k0Zj2YV,
rec0x5PW8z28tXd5y,2026-02-24T16:40:26.000Z,0,recBzTKhTFt0rpyZj,2026-02-24T16:40:26.000Z,2026-10-12,"""2026-10-12""",recoQ0U7QzVZROv45,recoQ0U7QzVZROv45,
rec0xCnDszfZy2uUj,2026-03-08T18:26:06.000Z,0,"recHHg9XhLHC21zvY,reccBfPpfUFwgTi5y",2026-03-08T18:26:06.000Z,2027-03-24,"""2027-03-24""",reccx9N6Zlp8w9BuK,reccx9N6Zlp8w9BuK,
rec0xuCvPHUKcPApD,2025-03-05T18:26:24.000Z,0,rec64hxpgTEzgyOio,2025-03-05T18:26:24.000Z,2025-12-31,"""2025-12-31""",rec6O4qDqHPOCU5Qr,rec6O4qDqHPOCU5Qr,
rec0y92gv4V28MZVd,2026-02-12T16:35:11.000Z,0,recBzTKhTFt0rpyZj,2026-02-12T16:35:11.000Z,2027-02-18,"""2027-02-18""",recRjbVI7qZcPQpAz,recRjbVI7qZcPQpAz,
rec0yX28tCD4fqcUU,2026-02-13T20:37:40.000Z,0,recBegBohgNLuxvd6,2026-02-13T20:37:40.000Z,2026-10-12,"""2026-10-12""",recqoUu7cPW9dQJSN,recqoUu7cPW9dQJSN,
rec0yuDKMAbq4dkZ8,2025-03-05T22:29:03.000Z,0,rectzlwUZbg7DifiH,2025-03-05T22:29:03.000Z,2025-09-11,"""2025-09-11""",recy5DRzkRMBDrdkm,recy5DRzkRMBDrdkm,
rec0zHaydYf2xhxUi,2026-02-18T20:01:02.000Z,0,recEnnhjHMIV8c8HC,2026-02-18T20:01:02.000Z,2026-12-28,"""2026-12-28""",recDewJYMMdQ7KIau,recDewJYMMdQ7KIau,
rec0zO2lQ84pqsEt1,2026-02-18T16:51:51.000Z,0,recBegBohgNLuxvd6,2026-02-18T16:51:51.000Z,2027-02-15,"""2027-02-15""",rech8BW6ntvZNwfgy,rech8BW6ntvZNwfgy,
rec0zmxIX3XYiCiee,2025-04-02T21:23:41.000Z,0,rec64hxpgTEzgyOio,2025-04-02T21:23:41.000Z,2026-01-05,"""2026-01-05""",rech3XcMHvv6dgkMh,rech3XcMHvv6dgkMh,
rec10cNHBTKXKAKLX,2025-03-18T18:02:58.000Z,0,recXGLuN0MF6Cn8Jt,2025-03-18T18:02:58.000Z,2026-03-17,"""2026-03-17""",recFUWVJ0ZEym8bbK,recFUWVJ0ZEym8bbK,
rec10skEcDAvodTEt,2025-03-18T18:02:55.000Z,0,recXGLuN0MF6Cn8Jt,2025-03-18T18:02:55.000Z,2025-09-17,"""2025-09-17""",recFUWVJ0ZEym8bbK,recFUWVJ0ZEym8bbK,
